audit,strategy,model,metric,value,ci_low,ci_high,n
healthcare_readmission,in_processing,logistic_regression,f1,0.00267260579064588,0.00041018998272884864,0.005826636946759958,19899
healthcare_readmission,in_processing,random_forest,accuracy,0.887481783004171,0.8833320769887933,0.8918036082215187,19899
healthcare_readmission,in_processing,random_forest,auc,0.5002494956746227,,,19899
healthcare_readmission,in_processing,random_forest,f1,0.0017833259028087382,0.0,0.004600103038755007,19899
healthcare_readmission,in_processing,gradient_boosting,accuracy,0.8875822905673652,0.8834853510226645,0.8919304990200513,19899
healthcare_readmission,in_processing,gradient_boosting,auc,0.5003061047886901,,,19899
healthcare_readmission,in_processing,gradient_boosting,f1,0.00178491744756805,0.0,0.00454014870769367,19899
healthcare_readmission,post_processing,logistic_regression,accuracy,0.8872305140961857,0.8831260364842454,0.8915284687672748,19899
healthcare_readmission,post_processing,logistic_regression,auc,,,,19899
healthcare_readmission,post_processing,logistic_regression,f1,0.0044365572315882874,0.000887479175938215,0.008657673067794656,19899
healthcare_readmission,post_processing,random_forest,accuracy,0.8875320367857681,0.8832843358962762,0.8917031006583246,19899
healthcare_readmission,post_processing,random_forest,auc,,,,19899
healthcare_readmission,post_processing,random_forest,f1,0.005333333333333334,0.0017361912085095477,0.01067874248724226,19899
healthcare_readmission,post_processing,gradient_boosting,accuracy,0.8872807678777828,0.883133574551485,0.891404090657822,19899
healthcare_readmission,post_processing,gradient_boosting,auc,,,,19899
healthcare_readmission,post_processing,gradient_boosting,f1,0.006202924235711122,0.001795139726174209,0.010825662709383637,19899
insurance_denial,baseline,logistic_regression,accuracy,0.7677902621722846,0.7226591760299625,0.8147003745318351,267
insurance_denial,baseline,logistic_regression,auc,0.7808326787117046,,,267
insurance_denial,baseline,logistic_regression,f1,0.7256637168141593,0.6601439571476398,0.7834131392453553,267
insurance_denial,baseline,random_forest,accuracy,0.7677902621722846,0.7171348314606741,0.8164794007490637,267
insurance_denial,baseline,random_forest,auc,0.8193524856918415,,,267
insurance_denial,baseline,random_forest,f1,0.735042735042735,0.6699408783783785,0.7973765432098765,267
insurance_denial,baseline,gradient_boosting,accuracy,0.7677902621722846,0.7191011235955056,0.8164794007490637,267
insurance_denial,baseline,gradient_boosting,auc,0.8345864661654134,,,267
insurance_denial,baseline,gradient_boosting,f1,0.7304347826086957,0.6650971599402092,0.7886049583418004,267
insurance_denial,unawareness,logistic_regression,accuracy,0.7715355805243446,0.724625468164794,0.8164794007490637,267
insurance_denial,unawareness,logistic_regression,auc,0.7811693412636068,,,267
insurance_denial,unawareness,logistic_regression,f1,0.7312775330396476,0.6650971599402092,0.7899812206572769,267
insurance_denial,unawareness,random_forest,accuracy,0.7677902621722846,0.7171348314606741,0.8164794007490637,267
insurance_denial,unawareness,random_forest,auc,0.8142183817753338,,,267
insurance_denial,unawareness,random_forest,f1,0.735042735042735,0.6683246073298429,0.7967682885679579,267
insurance_denial,unawareness,gradient_boosting,accuracy,0.7790262172284644,0.7303370786516854,0.8314606741573034,267
insurance_denial,unawareness,gradient_boosting,auc,0.8362417237122658,,,267
insurance_denial,unawareness,gradient_boosting,f1,0.7445887445887446,0.6791834032222468,0.8044322897019992,267
insurance_denial,unawareness_proxy_removal,logistic_regression,accuracy,0.6441947565543071,0.5935393258426966,0.700374531835206,267
insurance_denial,unawareness_proxy_removal,logistic_regression,auc,0.6874088205588598,,,267
insurance_denial,unawareness_proxy_removal,logistic_regression,f1,0.6184738955823292,0.5531481078729883,0.6943851600678169,267
insurance_denial,unawareness_proxy_removal,random_forest,accuracy,0.6816479400749064,0.6292134831460674,0.7378277153558053,267
insurance_denial,unawareness_proxy_removal,random_forest,auc,0.7300246885871393,,,267
insurance_denial,unawareness_proxy_removal,random_forest,f1,0.6443514644351463,0.5774359899026326,0.713063063063063,267
